kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,масло,157,110,47,0.29936305732484075,0.09090909090909091,0.574468085106383,10,27
word,air,147,130,17,0.11564625850340136,0.07692307692307693,0.6470588235294118,10,11
word,dr,147,103,44,0.29931972789115646,0.0970873786407767,0.5909090909090909,10,26
word,бумага,133,90,43,0.3233082706766917,0.1111111111111111,0.7906976744186046,10,34
word,холодильник,125,98,27,0.216,0.10204081632653061,0.3333333333333333,10,9
word,для кошек,246,154,92,0.37398373983739835,0.05844155844155844,0.5434782608695652,9,50
word,размер,241,189,52,0.2157676348547718,0.047619047619047616,0.7115384615384616,9,37
word,платье,241,198,43,0.17842323651452283,0.045454545454545456,0.5348837209302325,9,23
word,e,226,157,69,0.3053097345132743,0.05732484076433121,0.6521739130434783,9,45
word,p,190,138,52,0.2736842105263158,0.06521739130434782,0.5961538461538461,9,31
word,samsung,186,145,41,0.22043010752688172,0.06206896551724138,0.926829268292683,9,38
word,1000,149,90,59,0.3959731543624161,0.1,0.6271186440677966,9,37
word,5 х,129,71,58,0.4496124031007752,0.1267605633802817,0.3103448275862069,9,18
word,65,128,86,42,0.328125,0.10465116279069768,0.5714285714285714,9,24
word,маркер,119,85,34,0.2857142857142857,0.10588235294117647,0.7352941176470589,9,25
word,очки,1907,1868,39,0.02045097011012061,0.004282655246252677,0.7948717948717948,8,31
word,64,470,439,31,0.06595744680851064,0.018223234624145785,0.7096774193548387,8,22
word,сумка,364,284,80,0.21978021978021978,0.028169014084507043,0.6875,8,55
word,краска,267,233,34,0.12734082397003746,0.034334763948497854,0.8529411764705882,8,29
word,t,234,168,66,0.28205128205128205,0.047619047619047616,0.6515151515151515,8,43
word,6 шт,193,150,43,0.22279792746113988,0.05333333333333334,0.627906976744186,8,27
word,ресницы,191,179,12,0.06282722513089005,0.0446927374301676,0.9166666666666666,8,11
word,10 шт,187,134,53,0.28342245989304815,0.05970149253731343,0.6415094339622641,8,34
word,вт,172,115,57,0.3313953488372093,0.06956521739130435,0.5964912280701754,8,34
word,цветов,149,84,65,0.436241610738255,0.09523809523809523,0.4461538461538462,8,29
word,пазл,134,32,102,0.7611940298507462,0.25,0.4117647058823529,8,42
word,bosch,113,79,34,0.3008849557522124,0.10126582278481013,0.6764705882352942,8,23
word,5 м,107,79,28,0.2616822429906542,0.10126582278481013,0.6071428571428571,8,17
