specialist,slice_type,slice_value,iid_n,iid_macro_ap_delta,iid_logloss_gain,iid_mae_gain,iid_binary_net_correction_rate,hard_n,hard_macro_ap_delta,hard_logloss_gain,hard_mae_gain,hard_binary_net_correction_rate,ood_n,ood_macro_ap_delta,ood_logloss_gain,ood_mae_gain,ood_binary_net_correction_rate,iid_better,hard_better,ood_better,stable_iid_hard,stable_all_three,production_candidate,min_iid_hard_logloss_gain
rumodernbert,title_code_state,one_missing,4230.0,-0.017167638095114457,-0.005524464078946711,-0.019586003938076857,-0.007565011820330969,1868.0,-0.028893423813943664,0.012635794615811708,-0.02332880564978816,-0.027837259100642397,13648.0,-0.013352269042179676,0.004403020829627822,-0.017036869998321637,-0.003443728018757327,False,False,False,False,False,False,-0.005524464078946711
rumodernbert,missingness,extreme,6484.0,-0.006210176269131673,-0.005544205261699456,-0.016642787002387978,-0.0032387415175817395,2881.0,-0.027423399802540327,0.023984475307037175,-0.018208100993998697,-0.020826102047900034,32608.0,-0.00960585533827496,0.004849189174842705,-0.016661772194306066,-0.0010426889106967614,False,False,False,False,False,False,-0.005544205261699456
rumodernbert,brand_state,one_missing,9532.0,-0.008269621746170519,-0.005748279690088459,-0.018108240210236076,-0.006504406210658833,4656.0,-0.02606165104745839,0.02700733580531323,-0.01976817540330292,-0.016537800687285224,34755.0,-0.00717189056037415,0.007525630618318685,-0.01651336796429577,-0.0021004172061573874,False,False,False,False,False,False,-0.005748279690088459
rumodernbert,title_exact_near,not_near,8271.0,-0.013183442514605348,-0.0057889452525981015,-0.018192211774064136,-0.006649740055616008,2453.0,-0.013652688883775854,0.06329152638560893,-0.011326466222655592,-0.0110069302894415,26996.0,-0.009484609851778791,0.004427245890959795,-0.015840933851672262,-0.002407764113201956,False,False,False,False,False,False,-0.0057889452525981015
rumodernbert,attribute_key_overlap,tiny,1444.0,-0.001704519515721703,-0.005814480666002688,-0.016000839203382956,0.002077562326869806,591.0,-0.03692977269944975,0.05002657035708935,-0.01565927884964664,-0.021996615905245348,9513.0,-0.004780020578790456,0.008369072861234181,-0.01612999053650698,-0.0023126248291811206,False,False,False,False,False,False,-0.005814480666002688
minilm,numeric_ram_storage_state,both_missing,11647.0,-0.0004958461407901238,-0.001996190721449927,-0.0021175604343290546,0.0012878852923499614,5660.0,-0.008906273183011348,-0.005926171282582802,-0.0013645905675068284,-0.0008833922261484099,41122.0,-0.02474026479416158,-0.007703238143640159,-0.009127130581450812,-0.0033801857886289577,False,False,False,False,False,False,-0.005926171282582802
rumodernbert,numeric_weight_state,both_missing,4907.0,-0.017538933161339254,-0.006136655118526494,-0.01771175019515519,-0.004483391073975953,2570.0,-0.03873934110021976,0.019431530884267037,-0.021385132555279324,-0.018287937743190662,23863.0,-0.00919766665270394,0.006784586487869179,-0.016891777381515524,-0.002179105728533713,False,False,False,False,False,False,-0.006136655118526494
rumodernbert,model_attribute_state,one_missing,4285.0,-0.006366277474935678,-0.00618083867462664,-0.017764882435966807,-0.005834305717619603,2088.0,-0.026845615580786242,0.010761862561557464,-0.020650824237741797,-0.022030651340996167,18219.0,-0.012121092276270784,0.005721236756922762,-0.017107650330583153,-0.0019759591635106206,False,False,False,False,False,False,-0.00618083867462664
minilm,numeric_weight_state,both_missing,4907.0,-0.0018076291759575591,-0.0029975762501304767,-0.0035391871843598694,0.0010189525168127166,2570.0,-0.018405976033092408,-0.006715389712913003,-0.0035930662930363034,-0.004669260700389105,23863.0,-0.02239984894813063,-0.00635253954754073,-0.011197255091610516,-0.0048191761304110965,False,False,False,False,False,False,-0.006715389712913003
minilm,bge_score_bin,.025-.05,1324.0,0.11006376316929037,0.0008811917770285532,-0.009131394531996358,-0.0007552870090634441,637.0,-0.01835057671104734,-0.006781038370401181,-0.0041022778196652164,-0.0015698587127158557,6226.0,0.005945769411988364,-0.00013319244540942331,-0.01584257361412968,-0.0014455509155155799,False,False,False,False,False,False,-0.006781038370401181
minilm,numeric_optical_state,both_missing,11494.0,0.0007813084397914061,-0.0012150591423074617,-0.002051807724388753,0.0015660344527579607,5516.0,-0.010027901661252003,-0.006806834621637352,-0.0019102499222856204,-0.0018129079042784628,41163.0,-0.02474512446843402,-0.007687271898573797,-0.009130971694085947,-0.003449699973276972,False,False,False,False,False,False,-0.006806834621637352
minilm,brand_state,conflict,1373.0,0.013686436567738158,-0.003416394336234975,-0.0018554610356110916,0.005098324836125273,585.0,-0.006075952054898914,-0.006818197919065835,-0.0040548049012979126,-0.013675213675213675,3818.0,-0.031868329725535105,0.006491246263327733,-0.00472617039073293,0.0010476689366160294,False,False,False,False,False,False,-0.006818197919065835
rumodernbert,numeric_match_count,multiple,1975.0,-0.00905443436108766,-0.006982598327436589,-0.020289351609005014,-0.0015189873417721519,1035.0,-0.02621553760824702,0.056564183829670725,-0.017587516256700863,-0.015458937198067632,6075.0,-0.0115730573386843,0.0015103753286725367,-0.021550224051492695,-0.004279835390946502,False,False,False,False,False,False,-0.006982598327436589
rumodernbert,numeric_pack_count_state,both_missing,3255.0,-0.018158802718212574,-0.0072019167197117555,-0.016891824090968677,-0.010138248847926268,1750.0,-0.023245549155949785,0.009115726357167016,-0.022643142902180054,-0.025142857142857144,13823.0,-0.016545860509088572,0.008972438337452596,-0.01629481749003021,-0.0018085799030601172,False,False,False,False,False,False,-0.0072019167197117555
